x	y	hex	rgb
1174	401	#C2F3FF	rgb(194,243,255)
1219	355	#C2F2FD	rgb(194,242,253)
1295	326	#BCF2FE	rgb(188,242,254)
1368	320	#B2EFFD	rgb(178,239,253)
1455	349	#A1EBFC	rgb(161,235,252)
1546	400	#8BE4FA	rgb(139,228,250)
1619	428	#7DE2FB	rgb(125,226,251)
1718	438	#6CE2FB	rgb(108,226,251)
1817	430	#5EDFFC	rgb(94,223,252)
1903	414	#56DBFA	rgb(86,219,250)
1970	401	#4EDBFB	rgb(78,219,251)
2038	392	#44D9FB	rgb(68,217,251)
2111	405	#39D6FA	rgb(57,214,250)
2166	437	#2BD3F9	rgb(43,211,249)
2224	493	#18D0FA	rgb(24,208,250)
2259	568	#0DCDFA	rgb(13,205,250)
2278	628	#03CBF9	rgb(3,203,249)
2277	710	#03CBF9	rgb(3,203,249)
2275	810	#03CBF9	rgb(3,203,249)
2273	888	#03CBF9	rgb(3,203,249)
2269	967	#03CBF9	rgb(3,203,249)
2268	1047	#03CBF9	rgb(3,203,249)
2263	1125	#08CAF8	rgb(8,202,248)
2262	1188	#03CBF9	rgb(3,203,249)
1154	428	#BEEEFB	rgb(190,238,251)
1180	484	#B5F0FD	rgb(181,240,253)
1199	558	#A7EDFD	rgb(167,237,253)
1208	601	#9DEAFD	rgb(157,234,253)
1210	711	#8DE6FC	rgb(141,230,252)
1196	783	#85E5FC	rgb(133,229,252)
1177	856	#7BE3FB	rgb(123,227,251)
1150	919	#75E3FC	rgb(117,227,252)
1115	979	#71E2FB	rgb(113,226,251)
1075	1030	#6EE2FB	rgb(110,226,251)
1012	1104	#6CE2FE	rgb(108,226,254)
935	1169	#6EE2FB	rgb(110,226,251)
862	1217	#71E2FC	rgb(113,226,252)
946	1219	#65E0FC	rgb(101,224,252)
1096	1208	#50DBFB	rgb(80,219,251)
1845	1186	#03CBF9	rgb(3,203,249)
2049	1185	#03CBF9	rgb(3,203,249)
2164	1183	#03CBF9	rgb(3,203,249)
